腹腔镜基础知识
1.	关于现代电视胸腔镜手术的优势，下列说法不正确的是：C
125.	腹腔镜手术在使用高频电刀时的注意事项，以下正确的是：E
A.	使用前仔细检查电极的绝缘性，通电时间不可过长，非切割状态下避免通电
B.	负极板应贴肌肉丰富、距手术部位较近处，以使电流通过最短途径安返主机
C.	选用最低设置的电切及电凝输出功率，能满足手术使用即可
D.	作用电极不能与其他器械的金属部分相接触，在适当的时候使用双极电凝
E.	以上答案均是
126.	腹腔镜的图像显示系统，不包括：D
A.	窥镜
B.	冷光源
C.	导光束
D.	气腹针、气腹机、二氧化碳气瓶
E.	摄像机和显示器
工作原理和使用
127.	张某，因胆囊息肉行腹腔镜胆囊切除术，请您选择气腹压力：C
A.	8~10mmHg
B.	12~16mmHg
C.	12~14mmHg
D.	10~12mmHg
128.	腹腔镜常用手术分离组织方法：E
A.	钝性分离灭
B.	锐性分离
C.	电刀分离
D.	超声刀分离
E.	以上全部都是
129.	随着腹腔镜外科手术范围的不断扩大，腹腔镜下缝合技术也明显非常重要，以下哪些是腹腔镜常用打结方法：E
A.	间断缝合
B.	连续缝合
C.	线性切割器吻合器钉合法
D.	疝修补钉合器钉合法
E.	以上全部都是
130.	腹腔镜术中建立气腹时，不正确的是：D
A.	注射器内的盐水迅速流入腹腔
B.	流量计在4L/min时不应超出1.73kPa
C.	Palme抽吸试验阳性
D.	消瘦患者的腹壁突破感不明显
E.	有两次突破感
妇科手术
131.	在处理子宫血管以及切开阴道穹隆时容易发生出血，可以通过什么操作以预防出血：C
A.	分离、游离出韧带
B.	借助冲吸引法来暴露出血部位
C.	分离、游离出子宫血管
132.	子宫肌瘤需行子宫切除的是：D
A.	绝经后妇女，子宫如妊娠6周大小
B.	妊娠子宫肌瘤红色变性
C.	肌瘤不大，月经量稍多
D.	多发性肌瘤较大，症状明显
E.	浆膜下或肌壁间较小的肌瘤
133.	输卵管妊娠最常见的着床部位是在输卵管的：B
A.	伞部
B.	壶腹部
C.	峡部
D.	壶腹部与峡部联接部
E.	间治部
134.	输卵管妊娠破裂多见于输卵管：B
A.	间质部
B.	峡部
C.	壶腹部
D.	伞部
E.	输卵管漏斗
135.	妇科腹腔镜手术显示器的放置位置：D
A.	病人左上角
B.	病人左下角
C.	病人右上角
D.	病人右下角
136.	妇科腹腔镜手术器械车的放置位置：B
A.	病人左上角
B.	病人左下角
C.	病人右上角
D.	病人右上角
137.	妇科腹腔镜手术体位一般为：B
A.	仰卧位
B.	截石位
C.	平卧位
D.	侧卧位
E.	头高臀低位
138.	妇科腹腔镜手术病人的体位是：C
A.	平卧位
B.	头高臀低位
C.	头低臀高位
D.	半卧位
139.	需备7#长针嘴的腹腔镜手术有：B
A.	胆囊切除
B.	子宫肌瘤剖除和宫
C.	外孕手术
D.	卵巢肿瘤剖除
E.	全宫切除?
140.	需备无菌标本袋的腹腔镜手术是：B
A.	胆囊切除
B.	卵巢肿瘤剖除
C.	全宫切除
D.	子宫肌瘤剖除
141.	腹腔镜检查时不能：B
A.	判断生殖道有无畸形
B.	了解子宫腔情况
C.	观察排卵情况
D.	判断输卵管通畅程度
E.	了解输卵管阻塞与否
142.	以下哪项腹腔镜可以检查：B
A.	绒癌
B.	子宫内膜异位症
C.	子宫颈癌
D.	子宫体癌
E.	无排卵性功血
143.	以下哪个不适于腹腔镜的应用：A
A.	功能性子宫出血的治疗
B.	子宫内膜异位症的诊断和治疗
C.	子宫肌瘤剔除术
D.	单纯卵巢肿物切除或剥离术
E.	异位妊娠病灶切除或输卵管开窗术
144.	在腹腔镜下可行哪些手术：ABC
A.	输卵管切除术
B.	切开输卵管清除胚胎术
C.	输卵管妊娠部位注射药物
D.	输卵管造口术
E.	输卵管系膜囊肿剥除术
145.	盆腔结核的腹腔镜下表现是：C
A.	卵巢包膜增厚，表面光滑，灰白色，有新生血管
B.	腹膜紫蓝色或褐色结节
C.	盆腔脏器表面干酪样或粟粒样病灶
D.	输卵管浆膜面明显充血
E.	卵巢表面呈乳头状生长或突出实性赘生物
泌尿外科
146.	在2008年的欧洲泌尿外科学会（EAU）指南中，哪一个术式被推荐为标准术式：A
A.	腹腔镜根治性肾切除术
B.	回肠膀胱术
C.	腹腔镜输尿管切开取石术
D.	腹腔镜结肠切除术
E.	肾输尿管切除术
147.	腹腔镜结直肠手术的术式有：E
A.	腹腔镜辅助式
B.	非气腹腹腔镜辅助式
C.	手助腹腔镜式
D.	非气腹手助腹腔镜式
E.	以上均正确
148.	腹腔镜乙状结肠手术显像系统的放置位置：B
A.	病人的左上角
B.	病人的左下角
C.	病人的右上角
D.	病人的右下角
149.	泌尿科后腹膜腔镜显像系统的放置位置：C
A.	病人左上角
B.	病人的右上角
C.	病人的患侧头部
D.	病人的健侧头部?
150.	泌尿科后腹膜腔镜手术器械车的放置位置：C
A.	病人的左下角
B.	病人的右下角
C.	病人患侧
D.	病人的键侧
151.	腹腔镜直肠手术显像系统的放置位置：C
A.	病人的左上角
B.	病人的右上角
C.	病人的左下角
D.	病人的右下角
152.	腹腔镜直肠手术的手术体位截石位：B
A.	仰卧位
B.	截石位
C.	平卧位
D.	侧卧位
153.	肾部分切缝合集合系统和肾皮质时，持针和针的角度是多少？特殊情况下，比如缝合DVC，针和针持角度是多少度？D
A.	90度，90度
B.	120度，90度
C.	90度，大于90度
D.	90度，120度
普外科
154.	Glisson系统负责血液和胆汁的运输，分别由哪些组成：B
A.	肝门静脉、胆囊动脉、胆管
B.	肝门静脉、肝动脉、胆管
C.	淋巴管，肝动脉、胆管
D.	胆囊动脉、胆囊管、肝动脉
155.	肝脏横沟的描述正确的是：B
A.	为第二肝门所在
B.	为第一肝门所在
C.	由脐静脉窝和静脉韧带构成
D.	由胆囊窝和下腔静脉沟组成
E.	为第三肝门所在
（解析：横沟为第一肝门所在，内有胆管、门静脉、肝固有动脉、淋巴管和神经通过）
156.	有关腹腔镜胆囊切除术的并发症，下列哪一项是术后处理最棘手的：A
A.	胆管损伤
B.	肠管损伤
C.	胆瘘
D.	血管损伤
E.	术后出血
157.	现已能施行的腹腔镜胃肠手术有：E
A.	胃肠十二指肠穿孔修补术
B.	胃迷走神经切断术
C.	全胃切除术
D.	胃底折叠术
E.	以上均是
158.	胆囊动脉多源于：D
A.	“铅管”征
B.	“鹅卵石”征
C.	“鸟嘴”征
D.	“杯口”征
E.	充盈缺损
159.	腹腔镜胆囊切除，预防胆管损伤不正确的措施是：D
A.	胆囊壁厚（大于4mm），无功能胆囊常提示胆囊管短粗，胆囊萎缩，应靠近胆囊壶腹部上钛夹
B.	胆囊管较粗（大于4mm），术中行胆道造影，除外胆总管结石
C.	处理胆囊三角时，应由胆囊管延至胆囊，未明确胆囊管之前和胆囊管未由胆囊颈部分出，不能切任何管状结构
D.	确定胆囊管与胆总管关系困难时，应仔细解剖门部，使胆总管、肝总管、胆囊管“三管骨骼化”，以确定胆囊管
E.	术中出现出血或技术困难时，预防胆管损伤最佳措施是中转开腹
160.	腹腔镜胆囊切除,在分离胆囊管和胆囊动脉的方法中,下列不正确的是：D
A.	显露Calot三角时，切忌把胆囊颈向上推，以免使胆囊管和胆总管成一直线
B.	显露Calot三角时，若胃部充明显，可以放置胃管，改善手术视野
C.	为避免损伤胆总管，安全的方法是从近胆囊颈的地方分离胆囊管和胆囊动脉
D.	为避免残留过长的胆囊管，分离时需寻找胆囊管和胆总管的T形交界
E.	切断胆囊管和胆囊动脉的顺序并无定论，视术中显露及操作难易程度而定
161.	连接胆囊管的结构是：C
A.	肝左右管
B.	肝神经、淋巴管
C.	肝总管
D.	肝门静脉
E.	肝固有动脉
（解析：肝内的胆小管逐渐汇合成肝左管和肝右管，两管出肝门后汇合成肝总管下行，肝总管与胆囊管汇合，共同形成胆总管）
162.	以下描述有误的是：D
A.	胆囊动脉从肝右动脉发出后，经过胆囊三角分布于胆囊
B.	肝固有动脉发自肝总动脉，行走于肝十二指肠韧带内
C.	胆囊动脉多来自肝右动脉
D.	连接胆囊管的结构是肝总管
E.	引起急性胆囊炎的常见病因是胆囊结石阻塞胆囊管
163.	胆囊动脉多来自：B
A.	肝左动脉
B.	肝右动脉
C.	肝固有动脉
D.	胃右动脉
E.	胃十二指肠动脉
164.	急性胆囊炎行手术治疗时可采取的手术方式有：ABE
A.	胆囊切除
B.	胆囊造口引流
C.	胆总管-空肠吻台 
D.	十二指肠乳头切开成形
E.	胆总管切开后置T管引流
（解析：急性胆囊炎行手术治疗时可采取的手术方式有:胆囊切除太和胆囊造口引流术.胆践切除术适合全身 情况良好、无明显禁忌证的病人.胆囊造口术适合高龄危重病人,或遇局部解剖不清粘连严重者.实话胆囊切除术 时,当遇到急性胆囊炎炎症重、局部解剖不清粘连严重者也可先行胆总管切开,从胆总管内找到胆宠管,再行胆囊切 除胆总管切开后置T管引流,这样做可以避免胆总管损伤.胆总管空肠吻合适合胆总管下端梗阻,胆总管明显扩张者. 十二指肠乳头切开形适合奇怪的括约肌狭窄）
165.	有关腹腔镜手术胆管损伤后，以下哪一项是错误的：E
A.	胆汁流入腹腔，引起腹痛，继发性腹膜炎
B.	胆管损伤后形成环形瘢痕，管壁增厚，胆道梗阻
C.	胆管损伤，无胆汁外渗时，常在术后2周出现进行性黄疸
D.	胆管破裂伴胆汁外渗，在术后10日内出现肠梗阻、弥漫性腹痛和胆汁性腹水
E.	出现胆汁性腹膜炎，是胆管损伤后的早期表现
166.	腹腔镜胆囊切除术后胆道损伤的类型不包括：E
A.	胆道的撕裂伤
B.	胆道横断伤
C.	胆道穿孔
D.	胆道狭窄
E.	胆瘘
167.	下列可行腹腔镜胆囊切除术的有：ABC
A.	胆囊息肉
B.	胆囊多发性结石
C.	急性胆囊炎
D.	合并妊娠
168.	胆总管T管引流在拔管前常规应行：E
A.	凝血机制检查
B.	静脉胆囊造影
C.	ERCP
D.	PTC
E.	T管胆道造影
169.	不是腹腔镜胆囊切除的禁忌症是：A
A.	年龄大于70岁
B.	疑有胆囊癌
C.	胃穿孔手术史
D.	Mirizzi综合征
E.	肝硬化并门脉高压症
170.	急性结石性胆囊炎并发穿孔的常见部位是：BD
A.	胆囊管部
B.	胆囊底部
C.	胆囊体部
D.	胆囊颈部
E.	胆囊所有部位
171.	腹腔镜胆囊切除术的适应证是：BCE
A.	急性胆囊炎
B.	慢性胆囊炎
C.	胆囊息肉
D.	胆管结石
E.	胆囊胆石
（解析：腹腔镜胆囊切除术，属微创手术，适用证包括胆囊结石、息肉及慢性胆囊炎等，急性胆囊炎及胆管结石不适于腹腔镜手术。）
172.	腹腔镜胆囊切除手术体位：B
A.	仰卧位
B.	头高脚底15~30度，左侧倾斜35~45度
C.	侧卧位
D.	头低脚高15~30度，左侧倾斜35~45度
173.	腹腔镜胆囊切除夹闭胆囊管的部位是：B
A.	距胆总管1.5cm处
B.	距胆总管0.5cm处
C.	距胆总管1cm处
D.	距胆总管0.8cm处
174.	腹腔镜胆囊切除优于开腹胆囊切除不包括：E
A.	住院时间短
B.	术后疼痛轻
C.	可早期恢复正常活动
D.	腹壁创伤的并发症少
E.	胆道损伤的风险性小
（解析：目前90%的胆囊切除术可在腹腔镜下安全施行，腹腔镜胆囊切除术已成为胆囊良性疾病外科治疗的金标准。然而由此而致的胆管损伤却无法完全避免，其发生率是开腹胆囊切除手术的2倍。）
175.	慢性胆囊炎胆囊萎缩时：A
A.	胆囊切除术
B.	胆囊切除加胆总管探查引流术
C.	胆囊造瘘术
D.	胆囊切除加胆总管空肠吻合术
E.	Oddi括约肌切开成形术
176.	慢性胆囊炎合并胆囊积水宜采用：A
A.	胆囊切除术
B.	胆囊造口术
C.	Oddi括约肌切开成形术
D.	胆囊切除加胆管空肠Roux-Y吻合术
E.	胆囊切除加胆总管探查引流术
（胆囊切除的手术指征包括：胆囊结石反复发作引起临床症状；嵌顿在胆囊颈部或胆囊管处的胆囊结石；慢性胆囊炎致胆囊萎缩；胆囊内充满结石。慢性胆囊炎合并胆囊积水，压迫胆囊造成胆囊功能丧失，可以进行胆囊切除。）
177.	牵拉胆囊、游离胆囊床会出现：A
A.	心动过缓、血压下降
B.	心率加快、血压升高
C.	心率加快、血压下降
D.	心率减慢、血压升高
E.	心率、血压不变
（解析：牵拉胆囊，游离胆囊床出现心动过缓和血压下降等迷走神经兴奋表现。）
178.	胆囊的功能是：C
A.	分泌消化脂肪酶
B.	分泌和浓缩胆汁
C.	存储和浓缩胆汁
D.	分泌胆汁、乳化脂肪
179.	肝脏Glisson纤维鞘内包裹的管道有：B
A.	门静脉、肝静脉、肝胆管
B.	门静脉、肝动脉、胆总管
C.	门静脉、肝动脉、肝静脉
D.	门静脉、肝动脉、肝胆管
E.	肝静脉、肝胆管、肝动脉
180.	胆囊位于：A
A.	肝脏面右侧纵沟的前部
B.	肝脏面左侧纵沟的前部
C.	肝脏面横沟的前方
D.	肝的裸区内
E.	以上都不对
181.	人体最大的消化腺是：A
A.	肝
B.	胆囊
C.	肝胰壶腹
D.	钩突
E.	螺旋襞
182.	位于胆囊颈和胆囊管内：E
A.	肝
B.	胆囊
C.	肝胰壶腹
D.	钩突
E.	螺旋襞
183.	腹腔镜胆囊手术的穿刺点：E
A.	脐孔内下缘或内上缘
B.	上腹正中线剑突下3?cm处?
C.	右锁骨中线肋缘下3?cm
D.	右腋前线肋缘下
E.	以上的都是
184.	需要备钛夹的腹腔镜手术是：A
A.	胆囊切除
B.	卵巢肿瘤剖除
C.	全宫切除
D.	子宫肌瘤剖除
185.	腹腔镜胆囊切除，导致胆管损伤的原因是：E
A.	误认胆总管为胆囊管
B.	误认右侧副肝管为胆囊管
C.	胆囊管过度牵引
D.	钛夹位置不对，阻塞胆总管
E.	以上都是
186.	腹腔镜胆囊切除，在分离胆囊管和胆囊动脉的方法中，下列不正确的是：D
A.	显露Calot三角时，切忌把胆囊劲向上推，以免使胆囊管和胆总管成一直线
B.	显露Calot三角时，若胃部充气明显，可以放置胃管，改善手术视野
C.	为避免损伤胆总管，安全的方法是从近胆囊劲的地方分离胆囊管和胆囊动脉
D.	为避免残留过长的胆囊管，分离时需寻找胆囊管和胆总管的T形交界
E.	切断胆囊管和胆囊动脉的顺序并无定论，视术中显露及操作难易程度而定
187.	腹腔镜胆囊切除，导致胆囊损伤的原因是：E
A.	误认胆总管为胆囊管
B.	误认右侧副肝管为胆囊管
C.	胆囊管过度牵引
D.	钛夹位置不对，阻塞胆总管
E.	以上均是
188.	CT图像上的胆囊壁增厚定义，指胆囊壁超过：C
A.	1mm
B.	2mm
C.	3mm
D.	4mm
E.	5mm
189.	以下对胆囊的描述正确的是：ABCE
A.	位于肝右纵沟前部内
B.	胆囊颈续于胆囊管
C.	胆囊管内面的粘膜形成螺旋襞
D.	胆囊管开口于十二指肠
E.	可存储和浓缩胆汁
